program,number,compilation,setup,witness,proof
balances,1,585.37,275.10,173.64,253.65
balances,2,561.86,275.98,172.47,258.00
balances,3,570.63,272.57,174.00,255.72
balances,4,578.57,274.60,172.72,253.57
balances,5,561.97,273.06,172.64,250.55
balances,6,560.52,273.97,175.01,253.28
balances,7,560.88,273.08,173.50,251.80
balances,8,557.65,272.18,174.05,251.59
balances,9,569.64,272.58,173.27,251.47
balances,10,563.28,273.28,175.24,256.44
whitelist,1,532.21,241.19,168.25,216.89
whitelist,2,545.13,242.18,171.84,215.83
whitelist,3,531.91,240.88,168.84,220.83
whitelist,4,544.83,240.92,170.75,217.74
whitelist,5,535.48,243.02,169.04,216.65
whitelist,6,539.13,240.90,169.12,216.68
whitelist,7,531.34,242.96,169.23,216.90
whitelist,8,545.20,242.43,168.03,217.01
whitelist,9,532.77,241.77,167.74,216.82
whitelist,10,540.97,240.19,167.06,216.68
merkle,1,796.94,362.09,237.53,243.29
merkle,2,813.91,372.31,237.28,241.75
merkle,3,795.36,360.82,236.40,241.12
merkle,4,809.46,373.36,235.94,242.76
merkle,5,808.63,361.37,236.74,248.11
merkle,6,809.50,367.93,243.99,242.62
merkle,7,808.29,371.88,236.66,244.53
merkle,8,816.33,365.30,235.99,240.37
merkle,9,792.98,359.57,236.79,244.15
merkle,10,817.96,370.31,236.66,244.69
